e3
b5
Qf3
d5
Qxd5
Qxd5
c4
Qxd2+
Kxd2
bxc4
Bxc4
f5
Bd5
h5
Bxa8
c6
g4
hxg4
Kd1
Rxh2
Rxh2
a5
Rh8
g6
Rxg8
a4
Rxg6
e6
Rxg4
fxg4
Nc3
Ba6
Nxa4
Be2+
Kxe2
Bb4
Bd2
Bxd2
Kxd2
Kd8
Bxc6
Nxc6
Rc1
Nb8
b3
Ke8
Rc8+
Kf7
Rd8
Kg6
Rxb8
Kg5
Re8
g3
Rxe6
gxf2
Ke2
fxg1=Q
Rc6
Qxe3+
Kxe3
Kg4
Nb6
Kg3
Rc4
Kg2
Na8
Kg3
a4
Kg2
Nc7
Kg3
Na8
Kg2
Rh4
Kg3
Rf4
Kg2
Nc7
Kg3
Na8
Kg2
Rh4
Kg3
Rd4
Kg2
Rd8
Kg3
Rf8
Kg4
Rf6
Kg3
Rh6
Kg4
Rd6
Kg3
Rh6
Kg4
Rd6
Kg3
Rd4
Kg2
Rd8
Kg3
Rf8
Kg4
Re8
Kg3
Rh8
Kg4
Ke4
Kg3
Rh5
Kg4
Rf5
Kg3
Ke3
Kg4
Re5
Kg3
Rh5
Kg4
Re5
Kg3
Nc7
Kg4
Ra5
Kg3
Na8
Kg4
Nc7
Kg3
Na8
Kg4
Nb6
Kg3
Rh5
Kg4
Re5
Kg3
Na8
Kg4
Nc7
Kg3
Na8
Kg4
Nc7
Kg3
a5
Kg4
a6
Kg3
a7
Kg4
a8=Q
Kg3
Qh8
Kg4
Qg8+
Kh4
Qh8+
Kg3
Qg8+
Kh4
Qh8+
Kg3
Qf8
Kg4
Qe8
Kg3
Qh8
Kg4
Qf8
Kg3
Qg7+
Kh4
Qg8
Kh3
Qf8
Kg3
Qg7+
Kh4
Qg8
Kh3
Qh7+
Kg3
Qf7
Kg4
Qh7
Kg3
Qf7
Kg4
Qg6+
Kh4
Ne8
Kh3
Ng7
Kh4
Ne8
Kh3
Ng7
Kh4
Ne6
Kh3
Qg8
Kh4
Qh8+
Kg3
Qg8+
Kh4
Qh8+
Kg3
Qf8
Kg4
Qe8
Kg3
Qh8
Kg4
Qf8
Kg3
Qh8
Kg4
Qf8
Kg3
Qg7+
Kh4
Qg8
Kh3
Qh7+
Kg3
Qg7+
Kh4
Qg8
Kh3
Qh7+
Kg3
Qf7
Kg4
Qe8
Kg3
Qf8
Kg4
Qd8
Kg3
Qc7
Kg4
Qd8
Kg3
Qc7
Kg4
Qc8
Kg3
Qb7
Kg4
Qc8
Kg3
Qb7
Kg4
Qb8
Kg3
Qa7
Kg4
Qb8
Kg3
Qa7
Kg4
Qa8
Kg3
Qd5
Kg4
Nf8
Kg3
Nh7
Kg4
Nf8
Kg3
Nh7
Kg4
Nf6+
Kg3
Ng8
Kg4
Ne7
Kg3
Ng8
Kg4
Ne7
Kg3
Nc8
Kg4
Na7
Kg3
Nc8
Kg4
Na7
Kg3
Nc6
Kg4
Nd8
Kg3
Nf7
Kg4
Rh5
Kg3
Qg5#
