Nf3
d6
Ng5
h6
Ne4
Nf6
Nxf6+
exf6
d4
c6
Nc3
h5
Bf4
Qb6
b3
h4
e3
Nd7
Bc4
d5
Bd3
g6
Qg4
Ne5
Nxd5
cxd5
Bb5+
Qxb5
Qe2
Bb4+
Kf1
Qxe2+
Kxe2
Nc6
Kf3
Kf8
Rhg1
Rh7
Rh1
g5
Bc7
f5
Rhg1
Rg7
Rh1
Kg8
Rhg1
Kh8
Rh1
Bd7
Rhg1
Rag8
Rh1
Kh7
Rhg1
Rh8
Rh1
Rhg8
Rhg1
