e3
e6
g3
Nc6
Qh5
Qe7
c3
Qd6
d3
Nf6
g4
Be7
e4
Qe5
Qxe5
Nd5
Qxg7
d6
Qxh8+
Bf8
Bh6
e5
exd5
Nd4
cxd4
Be6
Bxf8
O-O-O
dxe6
Kb8
e7
a6
exd8=Q+
Ka7
dxe5
Kb6
exd6
Kc5
dxc7+
Kc6
Qe5
Kb6
Qdd4+
Kc6
Bg7
h6
Bh8
f6
Qe8+
Kxc7
Qed7+
Kb8
Qe8+
Kc7
Qed7+
