e3
Nc6
Bb5
Nb4
Qg4
Nxc2+
Kd1
Nxa1
Qf4
c6
Bc4
d5
Qc7
Qxc7
d4
dxc4
Nd2
c5
Ke1
cxd4
Kf1
c3
Ke1
cxd2+
Kf1
d1=Q#
