e4
b5
Bxb5
c6
Bc4
e6
Qf3
g5
Nc3
a5
d4
Bb4
Bd2
Bxc3
Bxc3
h6
Bd2
g4
Qxg4
Qg5
Bxg5
hxg5
Qxg5
Rxh2
Rxh2
f5
Qxg8+
Ke7
Qxc8
fxe4
Rh7+
Kf6
Qf8+
Kg5
Rg7+
Kh4
Qh8#
