e3
e6
g3
Nc6
Qh5
g6
Qh3
Nb4
Na3
Nc6
Nb5
a6
Nd4
Nxd4
exd4
c6
d5
exd5
Nf3
d6
Qh4
a5
Qxd8+
Kxd8
Ng5
Nh6
a3
f6
Nf3
Bg7
d4
Nf7
Bf4
Kc7
h3
Bd7
O-O-O
Rhg8
Bd3
f5
Kb1
a4
Ka2
Bh8
Rdg1
Bg7
Rg2
Bh8
g4
fxg4
hxg4
h6
Be3
Kb8
Bf4
Ra7
Be3
Ra8
Bf4
Ra7
Be3
Ra8
