e4
e5
Qf3
Qg5
Ne2
Nc6
Nf4
exf4
Bc4
Bb4
Kd1
Nf6
d4
Nxd4
Qh3
Nxe4
Bxf4
Qxf4
Bxf7+
Kxf7
Qh5+
Kg8
Qd5+
Kf8
Qxd4
Qg4+
Kc1
Qf4+
Kd1
Qg4+
Kc1
Qg5+
f4
Qxf4+
Kd1
Qg4+
Kc1
Qg5+
Kd1
Qg4+
Kc1
Qg5+
Kd1
Qh5+
Kc1
Qh6+
Kd1
Qh5+
Kc1
Qh6+
Kd1
Nf2+
Qxf2+
Ke7
Qe2+
Kf7
Rf1+
Kg8
Qe8+
Bf8
Qxf8#
