e3
Nc6
Bb5
Nb4
Qg4
Nxc2+
Kd1
Nxa1
Qf4
c6
Bc4
d5
Qc7
Qxc7
d4
dxc4
Nd2
c5
Ke1
cxd4
Kf1
c3
Ke1
cxd2+
Kf1
dxc1=Q+
Ke2
dxe3
h4
exf2
Kxf2
Qxb2+
Ke3
Qxg2
Kd3
Qd5+
Ke2
Qxh1
Kf2
Qxh4+
Ke3
Nc2+
Kd2
Nf6
Kc1
Qe4
Kb1
Qb6+
Kc1
Qc5
Kb1
Qxg1+
Kb2
Qc5
a4
Qxa4
Kb1
Nd4
Kb2
Nd5
Kb1
Bd7
Kb2
O-O-O
Kb1
Nc3+
Kc1
Nf3
Kb2
Qac6
Kc2
Q6b5
Kc1
Qd4
Kc2
Rg8
Kc1
Rh8
Kc2
