e4
f6
Qh5+
g6
Qxg6+
hxg6
Nf3
c6
Nc3
g5
Nxg5
b5
Bxb5
Rh6
Bxc6
a5
Bxa8
d6
Bc6+
Qd7
Bxd7+
Kd8
Bxc8
Ke8
Bd7+
Kd8
Ne6+
Kxd7
Nxf8+
Ke8
Ne6
Kd7
Nc5+
Ke8
d3
Kd8
Bxh6
Ke8
g4
Kd8
Ne6+
Ke8
Nc7+
Kd8
Ne6+
