h4
f5
a3
h5
b3
d5
f3
c6
e3
Qa5
Rh2
Qxd2+
Bxd2
g6
g4
a6
f4
e6
g5
Rh6
c3
b5
e4
Bc5
Bg2
b4
Bf1
Bf2+
Ke2
Bc5
Nh3
a5
Kd3
Bf8
c4
Nd7
Bc3
Ra6
Kc2
Nb6
Ng1
d4
Qg4
Na4
Kc1
Nb2
Kd2
c5
Qd1
a4
Rh1
Ra5
Rh2
e5
Rh1
Rb5
Rh2
Kd8
Rh1
Ke8
Rh2
