e4
b5
Bxb5
c6
Bc4
e6
Qg4
g5
Qg3
a5
Qe5
c5
Qxh8
Bg7
Qxg8+
Bf8
Qxh7
Bh6
Qxh6
a4
Nf3
Qa5
Qxg5
Qxd2+
Bxd2
f5
Qg8+
Ke7
Qxc8
fxe4
Qxc5+
Kf6
Qe5+
Kg6
Qxe4+
Kf6
Qh7
Ra7
Bg5#
