h4
f6
b3
d6
c3
b6
f3
g5
a4
c5
g3
a5
Ra3
Bh6
Rh3
Ra6
h5
Kd7
Bg2
Qf8
Bh1
Ke8
Rh4
g4
Rh2
Be3
Rf2
Bb7
Rg2
Ba8
Rf2
Qh6
Ra1
Qf8
h6
Bg5
Rg2
Kd8
Ra3
Ke8
Rh2
Bh4
Rh3
Qg7
Ra1
Kd8
Ra3
Ke8
Ra1
